,name,neighborhood,address,latitude,longitude,stars,review_count,categories
862,"""Raising Cane's""",Spring Valley,"""7135 S Rainbow Blvd""",36.058716,-115.2433571,4,264,Fast Food;Chicken Shop;American (Traditional);Chicken Wings;Restaurants
913,"""Roberto's Taco Shop""",Centennial,"""7251 W Azure Dr""",36.2730147,-115.2518622,2.5,26,Fast Food;Mexican;Restaurants
916,"""Roxy's Diner""",The Strip,"""2000 Las Vegas Blvd S""",36.14770952,-115.1552059,3,357,Restaurants;Burgers;Breakfast & Brunch;Diners;Food;Desserts
918,"""Tortilleria San Diego""",Downtown,"""235 N Eastern Ave""",36.1656584,-115.1165785,4.5,3,Restaurants;Mexican
963,"""Subway""",University,"""1196 E Tropicana Ave""",36.1015578,-115.1374328,2,4,Sandwiches;Restaurants;Fast Food
1024,"""Five Star Tavern""",Sunrise,"""4220 E Charleston Blvd""",36.1590151,-115.0850773,3,6,Bars;Casinos;American (New);Arts & Entertainment;Restaurants;Nightlife
1093,"""Sushi Loca""",South Summerlin,"""10965 Lavender Hill Dr""",36.14504941,-115.3328245,3,229,Food;Sushi Bars;Restaurants
1103,"""Tilted Kilt Pub & Eatery""",The Strip,"""3545 Las Vegas Blvd, Unit L-26""",36.11738432,-115.1703222,3,288,Pubs;Sports Bars;Bars;Restaurants;Nightlife;American (Traditional)
1104,"""Sky Lounge""",The Strip,"""3745 S Las Vegas Blvd""",36.1065949,-115.1709543,2.5,6,Bars;Pizza;Lounges;Restaurants;Nightlife
1109,"""Panda Express""",Sunrise,"""4416 E Bonanza Blvd""",36.1739844,-115.0797206,3,14,Chinese;Fast Food;Restaurants
1124,"""Little Ceasars""",,"""4388 E Craig Rd, Ste 135""",36.24121646,-115.0779132,2,20,Restaurants;Pizza
1160,"""Delicia's Latina's""",Downtown,"""""",36.16000372,-115.118578,3,4,Restaurants;Cuban;Mexican;Food;Food Trucks
1201,"""Gordon Biersch Brewery Restaurant""",Eastside,"""3987 Paradise Rd""",36.1170027,-115.1552488,3.5,352,Nightlife;Breweries;Restaurants;Food;American (New);Bars
1219,"""Raising Cane's""",,"""3535 W Tropicana Ave""",36.10051263,-115.1868803,4,55,Restaurants;Chicken Wings;Food;Chicken Shop;Fast Food;American (Traditional)
1239,"""Cafe Rio""",Northwest,"""5765 Centennial Center Blvd""",36.26483,-115.257743,3.5,153,Restaurants;Mexican
1271,"""Pizza Hut""",,"""5255 S. Decatur Blvd., #113""",36.0944572,-115.2088673,2.5,32,Pizza;Italian;Restaurants
1395,"""Hot Dog on a Stick""",Westside,"""4300 Meadows Ln""",36.1725319,-115.197258,3,20,Hot Dogs;Restaurants
1437,"""Nobu""",The Strip,"""3570 Las Vegas Blvd S""",36.11674333,-115.1753682,4,840,Sushi Bars;Japanese;Seafood;Restaurants
1465,"""In-N-Out Burger""",University,"""4705 S Maryland Pkwy""",36.1041636,-115.1375999,4.5,275,Burgers;Restaurants;Fast Food
1481,"""Dona Maria Tamales Restaurant""",Northwest,"""3205 N Tenaya Way""",36.21914606,-115.2517567,3.5,242,Food;Desserts;Mexican;Seafood;Restaurants
1519,"""KFC""",,"""4924 Boulder Hwy""",36.1139,-115.066,2,19,Restaurants;Fast Food;Chicken Wings
1570,"""Buddha Thai Bistro""",Southeast,"""9400 S Eastern Ave, Ste 106B""",36.0182263,-115.1179256,4.5,86,Chinese;Asian Fusion;Thai;Restaurants
1652,"""Tequila Taqueria""",The Strip,"""3645 Las Vegas Blvd S""",36.11386,-115.168798,3,187,Burgers;Bars;Restaurants;Mexican;Nightlife;Tex-Mex;Cocktail Bars;Beer Bar
1677,"""La Parrilla""",Eastside,"""4161 S Eastern Ave""",36.1130431,-115.1194493,3.5,6,Restaurants;Mexican
1709,"""Grimaldi's Pizzeria""",Spring Valley,"""7155 S Rainbow Blvd, Ste 125""",36.05833386,-115.2433192,4,459,Pizza;Restaurants
1729,"""The Black Sheep""",Spring Valley,"""8680 W Warm Springs Rd""",36.0560801,-115.2808739,4.5,178,Cocktail Bars;Nightlife;Restaurants;Wine Bars;American (New);Bars
1820,"""Kyara Japanese Tapas""",Spring Valley,"""6555 S Jones Blvd, Ste 120""",36.0698514,-115.2249867,4,428,Food;Restaurants;Japanese;Tapas Bars;Desserts
1821,"""The Chicken Shack""",Spring Valley,"""4950 S. Rainbow Blvd, Ste 130""",36.09859661,-115.2425259,3.5,33,Restaurants;Fast Food;Chicken Wings;Chicken Shop
1832,"""Krispy Kreme Doughnuts""",Chinatown,"""7015 W Spring Mountain Rd""",36.12529103,-115.2457504,3,133,Donuts;Cafes;Restaurants;Coffee & Tea;Food
1857,"""Taqueria Del Paisano""",,"""3603 N Las Vegas Blvd""",36.22666672,-115.0813409,4.5,6,Restaurants;Mexican
1869,"""Fat Bar""",The Strip,"""3763 Las Vegas Blvd S""",36.1052677,-115.1724964,4,23,American (New);Sports Bars;American (Traditional);Nightlife;Bars;Restaurants
1893,"""Plumeria Thai Cafe""",Northwest,"""6710 W Cheyenne Ave""",36.21922332,-115.2427038,4.5,218,Asian Fusion;Restaurants;Thai;Hawaiian
1962,"""The Rose Grill""",Downtown,"""3328 E Charleston Blvd""",36.1585755,-115.0996395,3.5,3,Restaurants;Burgers;Salad;Pizza
1967,"""Burger King""",Eastside,"""3355 S Maryland Pkwy""",36.1281733,-115.1374956,2.5,11,Fast Food;Burgers;Restaurants
1988,"""The Corndog Company LV""",Centennial,"""5720 Centennial Center Blvd""",36.2657011,-115.2599646,5,7,Food Trucks;Restaurants;Hot Dogs;Food;Street Vendors
1999,"""Freddy's Frozen Custard & Steakburgers""",Westside,"""4675 W Charleston Blvd""",36.1586242,-115.2047571,4.5,113,Hot Dogs;Burgers;Fast Food;Ice Cream & Frozen Yogurt;Restaurants;Food
2035,"""Taqueria El Pastorcito 2""",Westside,"""4820 W Charleston Blvd""",36.15941849,-115.2073426,3.5,3,Mexican;Food Trucks;Street Vendors;Restaurants;Food
2036,"""Pokeman""",Chinatown,"""3735 Spring Mountain Rd, Ste 206""",36.12613,-115.1891408,4,171,Hawaiian;Food;Japanese;Restaurants;Sushi Bars;Poke
2082,"""Mulligan's Pub""",Southeast,"""6471 Boulder Hwy""",36.08413015,-115.0312607,3.5,47,Nightlife;Irish;Bars;Restaurants;Irish Pub;Pubs
2156,"""L&L Hawaiian Barbecue""",,"""6118 W Flamingo Rd""",36.1159009,-115.2263204,4,65,Barbeque;Hawaiian;Restaurants
2203,"""TENDER Steak & Seafood""",The Strip,"""3900 Las Vegas Blvd S""",36.09535564,-115.1766143,3.5,421,Nightlife;Restaurants;Steakhouses;Bars;American (Traditional)
2232,"""Pho Thai Binh""",Chinatown,"""4631 W Spring Mountain Rd""",36.1263001,-115.2037174,3,12,Vietnamese;Restaurants
2238,"""Subway""",The Strip,"""3999 Las Vegas Blvd S""",36.09038981,-115.1723104,2,15,Restaurants;Sandwiches;Fast Food
2309,"""Waffles Cafe""",Centennial,"""6446 N Durango Dr, Ste 150""",36.27798369,-115.2869478,4,270,Breakfast & Brunch;Coffee & Tea;Restaurants;Food
2321,"""Gyro Time Restaurant""",Northwest,"""7660 W Cheyenne Ave""",36.2191781,-115.2624712,3.5,75,Restaurants;Mediterranean;Greek
2444,"""KFC""",Summerlin,"""10267 W Charleston Blvd.""",36.1588,-115.316,1.5,38,Chicken Wings;Restaurants;Fast Food
2465,"""Chubby Cattle""",Chinatown,"""3400 S Jones Blvd, Ste 15""",36.1273078,-115.2243612,4.5,516,Do-It-Yourself Food;Barbeque;Restaurants;Hot Pot;Chinese;Fondue;Mongolian;Food
2495,"""Green Leaf's & Bananas""",Downtown,"""875 S Grand Central Pkwy, Ste 1490""",36.163691,-115.157758,2,23,Soup;Restaurants;Ice Cream & Frozen Yogurt;Food;Salad;Juice Bars & Smoothies
2625,"""Rivas Mexican Grill #2""",Eastside,"""3025 E Desert Inn Rd, Ste1""",36.128693,-115.1091,3.5,66,Restaurants;Mexican
2802,"""Hot Dog On A Stick""",The Strip,"""3850 Las Vegas Blvd S""",36.09883118,-115.175766,3.5,17,Fast Food;Food;Hot Dogs;Restaurants
2811,"""Taco Bell""",,"""6200 West Lake Mead""",36.195937,-115.227792,3,9,Fast Food;Tex-Mex;Restaurants;Mexican
2854,"""Mimosas Gourmet""",Spring Valley,"""3455 S Durango Dr, Ste 114""",36.1271903,-115.2800102,4.5,205,Restaurants;Breakfast & Brunch
2983,"""Amlee Chinese Cuisine""",Southeast,"""3827 E Sunset Rd""",36.0707165,-115.0911257,3.5,98,Soup;Chinese;Restaurants;Salad
3025,"""Husongs Cantina""",The Strip,"""3930 Las Vegas Blvd""",36.086668,-115.172986,5,4,Mexican;Restaurants
3086,"""Blueberry Hill Family Restaurant""",Eastside,"""3790 E Flamingo Rd""",36.1161975,-115.092388,4,331,Breakfast & Brunch;Diners;American (New);Restaurants
3146,"""Cicis""",Sunrise,"""309 N Nellis Blvd, Ste 120""",36.16691273,-115.063594,3,42,American (Traditional);Restaurants;Pizza
3152,"""China Star""",Westside,"""4595 W Charleston Blvd""",36.1586341,-115.2030893,3,69,Restaurants;Chinese
3174,"""Pancho's Vegan Tacos""",Eastside,"""4865 S Pecos Rd, Ste 5""",36.10077747,-115.1018145,4.5,193,Vegan;Mexican;Restaurants;Tacos
3195,"""Greens and Proteins""",Southeast,"""8975 S Eastern Ave""",36.0262317,-115.1192573,4,635,Juice Bars & Smoothies;Cafes;Vegetarian;American (New);American (Traditional);Sandwiches;Vegan;Food;Pizza;Breakfast & Brunch;Burgers;Restaurants
3196,"""Marias Taco Shop""",Southeast,"""7380 S Eastern Ave, Ste 118""",36.055748,-115.1170812,3.5,31,Restaurants;Mexican
3208,"""Subway""",,"""7500 W Lake Mead Blvd, Ste 8""",36.1973681,-115.2578289,3,14,Food;Fast Food;Sandwiches;Restaurants
3214,"""Little Caesars Pizza""",Northwest,"""6621 W Cheyenne Ave""",36.2178018,-115.2406243,1.5,24,Restaurants;Pizza
3239,"""Pita House""",Southeast,"""1310 E Silverado Ranch Blvd, Ste 101""",36.01408718,-115.1351311,4.5,243,Restaurants;Vegan;Mediterranean
3244,"""Slices Pizzeria""",,"""4111 Boulder Hwy""",36.1337103,-115.0850568,3,10,Restaurants;Pizza
3305,"""Claim Jumper""",Westside,"""1100 S Fort Apache Rd""",36.15862089,-115.2909366,3,306,American (New);Restaurants
3420,"""Gold Mine Bar & Grill""",Eastside,"""3950 Koval Ln""",36.11792342,-115.1607698,2.5,26,American (Traditional);Bars;Nightlife;Restaurants
3450,"""Del Taco""",Southwest,"""4800 W Cactus Ave""",35.99874124,-115.2055067,2,24,Restaurants;Mexican;Fast Food
3474,"""Buffalo Wild Wings""",Southeast,"""7430 Las Vegas Blvd South, Suite 120""",36.054301,-115.171477,2.5,398,Chicken Wings;Nightlife;Sports Bars;Restaurants;American (Traditional);Bars;Barbeque
3481,"""Lucki Thai""",Southeast,"""467 E Silverado Ranch Blvd""",36.01198464,-115.1535986,4.5,560,Thai;Local Flavor;Restaurants
3501,"""Violette's Vegan Organic Cafe & Juice Bar""",Westside,"""8560 W Desert Inn Rd, Ste D5""",36.1300289,-115.2777727,4,538,Juice Bars & Smoothies;Vegetarian;Vegan;Restaurants;Food
3519,"""Sofia's Cafe""",Westside,"""3380 Arville St, Ste C""",36.1286741,-115.1988504,3.5,39,Soup;Pizza;Restaurants;Mediterranean;Italian
3571,"""Pizza Hut""",Sunrise,"""5105 E. Sahara Ave., #128""",36.1442831,-115.0625725,2.5,20,Pizza;Restaurants;Chicken Wings
3583,"""Famous Philly Steak & Gyro""",,"""240 North Jones Blvd, Ste E""",36.17580488,-115.2223258,4.5,31,Mediterranean;Restaurants;Cheesesteaks
3593,"""Hue Thai""",Chinatown,"""5115 Spring Mountain Rd, Ste 223""",36.125587,-115.211199,3.5,318,Restaurants;Vietnamese;Chinese;Thai
3627,"""TGI Fridays""",,"""4500 W Tropicana Ave""",36.102704,-115.202215,2.5,211,Bars;Seafood;Nightlife;Restaurants;American (Traditional)
3742,"""Wienerschnitzel""",Sunrise,"""4470 E Charleston""",36.15926408,-115.077969,3,5,Hot Dogs;Sandwiches;Fast Food;Restaurants
3774,"""Silk Road Asian Bistro""",Eastside,"""3000 Paradise Rd""",36.1362575,-115.1512526,3,35,Chinese;Ramen;Japanese;Barbeque;Restaurants;Vietnamese
3775,"""Panda Express""",Summerlin,"""7560 W Lake Mead Blvd""",36.19761517,-115.2601344,2.5,34,Fast Food;Chinese;Restaurants
3827,"""Las Vegas South Premium Outlets""",Southeast,"""7400 Las Vegas Blvd S""",36.05393335,-115.1689283,3.5,393,Shopping;Restaurants;Shopping Centers;Fashion;Outlet Stores
3935,"""Voodoo Wing Company""",Northwest,"""6728 W Cheyenne Ave""",36.2185398,-115.2431106,4,227,Food;Barbeque;Chicken Wings;Restaurants
3957,"""Max's Restaurant""",University,"""1290 E Flamingo Rd""",36.114859,-115.136639,3,345,Restaurants;Seafood;Filipino;Breakfast & Brunch;Asian Fusion
3967,"""Daisho Sushi""",Southeast,"""7435 S Eastern Ave""",36.055832,-115.120023,4,268,Salad;Japanese;Sushi Bars;Restaurants
4024,"""Denny's""",Southeast,"""9320 S Eastern Ave""",36.01982066,-115.118058,3,80,American (Traditional);Diners;Restaurants;Breakfast & Brunch
4028,"""Shooters Bar & Grill""",Sunrise,"""4465 E Sahara Ave""",36.1439838,-115.0774281,4,15,Pizza;Chicken Wings;Restaurants;American (Traditional);Pubs;Bars;Nightlife
4075,"""PT's""",University,"""1089 E Tropicana Ave""",36.1008854,-115.1384919,2.5,35,Bars;Sports Bars;Pubs;Restaurants;American (New);Nightlife
4106,"""Weera Thai Restaurant""",Westside,"""3839 W Sahara Ave, Ste 7-9""",36.143956,-115.1930886,4,648,Thai;Restaurants;Food;Bars;Food Delivery Services;Noodles;Vegetarian;Beer;Wine & Spirits;Nightlife;Beer Bar;Wine Bars
4127,"""Subway""",Centennial,"""6475 N Decatur Blvd, Ste 110""",36.2768676,-115.2078847,2.5,12,Sandwiches;Fast Food;Restaurants
4155,"""Pisa Pizza""",The Strip,"""3635 S Las Vegas Blvd, Ste 103""",36.11431308,-115.1724348,4,36,Restaurants;Pizza
4169,"""Scentz N Sudz""",Sunrise,"""3935 E Charleston Blvd, Ste B3-B4""",36.1580819,-115.0899685,4.5,3,Shopping;Restaurants;Beauty & Spas;South African;Personal Shopping;African;Cosmetics & Beauty Supply
4175,"""Papa Murphy's""",Southwest,"""8595 S Decatur Blvd""",36.0335123,-115.2084299,3.5,28,Restaurants;Pizza;Gluten-Free;Salad
4178,"""Doh Korean BBQ""",Southwest,"""7920 S Rainbow Blvd, Ste 105""",36.0447183,-115.2427053,4,308,Restaurants;Barbeque;Korean
4214,"""Joey's Tavern""",Northwest,"""7081 W Craig Rd""",36.237869,-115.248219,3.5,53,Bars;American (New);Restaurants;Nightlife
4239,"""The Sugar Corner""",University,"""1083 E Tropicana Ave""",36.10069246,-115.1394494,4,43,Restaurants;Bakeries;Cuban;Ethnic Food;Food;Specialty Food;Latin American;Breakfast & Brunch
4253,"""Slidin Thru""",Southeast,"""6478 Windy Rd""",36.071643,-115.176101,4,364,Restaurants;Food Trucks;Food Stands;Food;Burgers
4289,"""Roberto's Taco Shop""",Southeast,"""6475 S Pecos Rd""",36.0724028,-115.101393,3,47,Mexican;Restaurants;Fast Food
4307,"""Jack in the Box""",Spring Valley,"""7025 S Durango Dr""",36.059982,-115.279878,2.5,35,Restaurants;Fast Food
4348,"""Paisanos Pizza""",,"""4825 W Flamingo Rd, Ste 1""",36.1148713,-115.2066735,1.5,8,Pizza;Restaurants
4416,"""Cravings Buffet""",The Strip,"""3400 Las Vegas Blvd S""",36.121237,-115.174105,3,1252,American (Traditional);Buffets;Restaurants;American (New)
4439,"""El Dorado Cantina""",,"""3025 Sammy Davis Jr Dr""",36.13491543,-115.175822,4,1694,Lounges;Mexican;Restaurants;Bars;Nightlife
4535,"""Pollo Inka Express""",Downtown,"""2440 S Maryland Pkwy""",36.14453102,-115.1375459,4,123,Restaurants;Peruvian;Latin American;Fast Food
4626,"""Steak 'n Shake""",Southeast,"""9777 Las Vegas Blvd S""",36.01140626,-115.1757787,3.5,778,Restaurants;Food;Fast Food;Burgers
4679,"""Northside Café and Chinese Kitchen""",The Strip,"""SLS Las Vegas, 2535 S. Las Vegas Blvd""",36.1423259,-115.1561477,3.5,512,Restaurants;Diners;Breakfast & Brunch;Cafes
4719,"""Five Guys""",,"""7290 W Lake Mead Blvd""",36.196525,-115.2507281,4,137,Restaurants;Fast Food;Burgers
4763,"""Domino's Pizza""",Centennial,"""7591 N Cimarron Rd, Ste 110""",36.2982383,-115.2700183,4,18,Chicken Wings;Sandwiches;Pizza;Restaurants
4766,"""Taqueria El Buen Pastor""",,"""530 N Las Vegas Blvd""",36.1745608,-115.137042,4.5,127,Street Vendors;Mexican;Food;Restaurants
4784,"""Vegas Drink And Grill""",The Strip,"""3061 South Las Vegas Blvd S, Ste 1A""",36.1314994,-115.1641624,2.5,3,Restaurants;American (Traditional)
4804,"""Subway""",Westside,"""4700 Meadows Ln, Ste 150""",36.17122232,-115.2051131,3,4,Restaurants;Fast Food;Sandwiches
4805,"""HoneyBaked Ham""",Westside,"""1112 S Rainbow Blvd""",36.1583669,-115.2431523,4,32,Specialty Food;Sandwiches;Restaurants;Delis;Cafes;Meat Shops;Event Planning & Services;Food;Caterers
4833,"""Crab Corner""",Spring Valley,"""6485 S Rainbow Blvd""",36.07088186,-115.2432709,3.5,438,Sports Bars;Restaurants;Bars;Nightlife;Seafood
4893,"""NYP- Pizzeria""",The Strip,"""New York New York Hotel & Casino, 3790 Las Vegas Blvd S""",36.1023786,-115.1745465,3.5,113,Italian;Pizza;Restaurants
4951,"""KFC""",,"""6181 West Lake Mead Blvd""",36.1956,-115.227,1.5,27,Fast Food;Restaurants;Chicken Wings
4958,"""McDonald's""",Eastside,"""3815 S Maryland Pkwy""",36.12000047,-115.1378561,2,41,Burgers;Fast Food;Restaurants
4989,"""Blue Ox East Restaurant & Lounge""",Eastside,"""4130 S Sandhill Rd""",36.1139613,-115.0909203,4,44,Nightlife;Bars;American (Traditional);Restaurants
5034,"""Fleming's Prime Steakhouse & Wine Bar""",Westside,"""8721 W Charleston Blvd""",36.1584963,-115.2857479,4,348,Nightlife;Breakfast & Brunch;Restaurants;Wine Bars;Bars;Seafood;Steakhouses
5054,"""Port of Subs""",,"""4388 E Craig Rd, Ste 155""",36.2410685,-115.0779957,3.5,11,Restaurants;Delis;Sandwiches
5067,"""Mizuya""",The Strip,"""3950 S Las Vegas Blvd""",36.091869,-115.175256,3,121,Sushi Bars;Bars;Japanese;Restaurants;Nightlife;Lounges
5068,"""Giada""",The Strip,"""The Cromwell Las Vegas Resort & Casino, 3595 Las Vegas Blvd South""",36.11505921,-115.172109,3.5,2349,Italian;Restaurants
5349,"""Pablo's Kitchen""",,"""5212 Arville St, Ste 4""",36.10003456,-115.1984079,5,6,Food Trucks;Restaurants;Event Planning & Services;Mexican;Caterers;Food
5436,"""McDonald's""",Westside,"""7851 W Charleston Blvd""",36.1586268,-115.2630618,2,28,Fast Food;Burgers;Restaurants
5632,"""Mamma Olivia""",Eastside,"""3528 S Maryland Pkwy""",36.1249276,-115.1354186,5,5,Restaurants;Italian;Pizza
5689,"""Charlie's Cheesesteak Deli""",,"""4575 Boulder Hwy""",36.12418595,-115.0747182,4,13,Cheesesteaks;Restaurants;Delis;Chicken Wings
5771,"""Cucina by Wolfgang Puck""",The Strip,"""3720 S Las Vegas Blvd""",36.10767672,-115.1750617,4,754,Italian;Restaurants;Pizza
5836,"""Tequileria Grille""",Southeast,"""5757 Wayne Newton Blvd""",36.080609,-115.146624,2,32,Tex-Mex;Specialty Food;Food;Ethnic Food;Restaurants;Imported Food
5972,"""La Tapenade Mediterranean Cafe""",Southeast,"""5757 Wayne Newton Blvd""",36.08040931,-115.133261,2,17,Food;Restaurants;Mediterranean
6085,"""Mermaid Restaurant & Lounge""",Southwest,"""3333 Blue Diamond Rd""",36.0412834,-115.1833103,3.5,58,Restaurants;Nightlife;Bars;Lounges
6113,"""Chef Marc's Trattoria""",The Lakes,"""8615 W Sahara Ave""",36.14296907,-115.2801029,4.5,187,Restaurants;Seafood;Italian;Steakhouses
6245,"""Tapioca Express""",Eastside,"""3910 S Maryland Pkwy, Ste 9""",36.117891,-115.136879,3.5,115,Restaurants;Juice Bars & Smoothies;Bubble Tea;Food;Coffee & Tea
6261,"""La Casona Bar & Grill""",Eastside,"""2600 E Flamingo Rd""",36.1153932,-115.1140608,2.5,47,Restaurants;Mexican;Nightlife;Seafood;Dance Clubs;Latin American;Bars;Salvadoran
6294,"""Chada Street""",Chinatown,"""3839 Spring Mountain Rd""",36.1261759,-115.1909378,4,174,Restaurants;Bars;Desserts;Thai;Wine Bars;Nightlife;Food
6369,"""Pure Indian Cuisine""",Southeast,"""1405 E Sunset Rd, Ste 200""",36.0712104,-115.1341397,4.5,306,Restaurants;Indian
6381,"""McDonald's""",Spring Valley,"""7200 Arroyo Crossing Pkwy""",36.0649678,-115.2488196,3,16,Fast Food;Burgers;Restaurants
6382,"""VegeNation""",Downtown,"""616 Carson Ave, Ste 120""",36.16728539,-115.1393104,4.5,970,Vegan;Bars;Nightlife;Wine Bars;Restaurants;Sandwiches;Vegetarian;Live/Raw Food;Waffles
6413,"""The Coffee Shop""",The Strip,"""3300 Las Vegas Blvd S""",36.12391357,-115.1715178,2.5,225,Comfort Food;Breakfast & Brunch;Beauty & Spas;Food;Coffee & Tea;American (Traditional);Restaurants;Hotels;Arts & Entertainment;Day Spas;Event Planning & Services;Casinos;Hotels & Travel
6421,"""Tacos La Mexicana""",Spring Valley,"""3555 S Durango Dr, Ste B101""",36.124897,-115.2791672,4,141,Food;Food Delivery Services;Restaurants;Mexican
6491,"""El Ausente""",Downtown,"""2536 Fremont St""",36.157312,-115.1151063,4.5,32,Restaurants;Mexican
6547,"""Rachel's Kitchen""",Southeast,"""5757 Wayne Newton Blvd""",36.080972,-115.135804,4,35,Cafes;Restaurants;Food;American (Traditional);Vegetarian;Comfort Food;American (New);Juice Bars & Smoothies
6553,"""Pupusería El Zunzal""",,"""2081 N Decatur Blvd""",36.1969016,-115.2062221,3,27,Latin American;Restaurants
6562,"""The Bar @ Las Vegas Blvd & Wigwam""",Southeast,"""8560 S Las Vegas Blvd""",36.0342435,-115.1714093,4,135,Bars;Sports Bars;Restaurants;Pubs;American (Traditional);Nightlife
6622,"""Park on Fremont""",Downtown,"""506 Fremont St""",36.169326,-115.140097,4,907,American (New);Breakfast & Brunch;Bars;Nightlife;Gastropubs;Lounges;Restaurants
6729,"""Round Table Pizza""",Southeast,"""7141 South Eastern Avenue""",36.059631,-115.119423,3.5,58,Pizza;Buffets;Restaurants
6765,"""Chow Time""",,"""7421 W Lake Mead Ave""",36.1954258,-115.2549386,3,7,Food;Barbeque;Restaurants;Food Trucks
6782,"""Bouchon at the Venezia Tower""",The Strip,"""3355 Las Vegas Blvd S, Venezia Tower, 10th floor""",36.12095546,-115.1698532,4,3570,Breakfast & Brunch;Venues & Event Spaces;Event Planning & Services;Restaurants;French;Cafes;Bakeries;Food
6897,"""Church's Chicken""",Sunrise,"""868 N Nellis Blvd""",36.1754284,-115.06179,2,13,Restaurants;Chicken Wings
6945,"""The HideAway""",Northwest,"""3369 Thom Blvd""",36.22004453,-115.2123742,4,12,American (Traditional);Restaurants;Bars;Music Venues;Arts & Entertainment;Nightlife
6995,"""Wings Restaurants""",Anthem,"""9985 S Eastern Ave""",36.006758,-115.116175,3.5,118,Chicken Wings;Restaurants
7040,"""Firelight Buffet""",,"""5111 Boulder Hwy""",36.1128082,-115.0622887,3,175,Restaurants;Buffets
